vehicle_id,timestamp,engine_temperature,tire_pressure,brake_wear,battery_voltage
1,2024-11-08 05:04:36.678852,95.77,30.87,35.05,12.32
1,2024-11-08 05:09:36.678852,70.88,30.47,76.34,12.87
1,2024-11-08 05:14:36.678852,103.72,32.75,32.61,12.61
1,2024-11-08 05:19:36.678852,83.5,34.89,16.06,12.76
1,2024-11-08 05:24:36.678852,107.76,31.07,87.59,12.24
1,2024-11-08 05:29:36.678852,86.63,32.68,32.98,12.64
1,2024-11-08 05:34:36.678852,103.35,31.89,1.46,13.44
1,2024-11-08 05:39:36.678852,102.47,32.36,12.51,12.52
1,2024-11-08 05:44:36.678852,103.5,32.07,8.88,13.31
1,2024-11-08 05:49:36.678852,91.83,32.58,89.91,12.38
1,2024-11-08 05:54:36.678852,107.59,31.12,32.07,14.18
1,2024-11-08 05:59:36.678852,107.0,31.45,83.63,13.49
1,2024-11-08 06:04:36.678852,108.35,30.37,21.64,13.46
1,2024-11-08 06:09:36.678852,105.48,34.5,36.15,14.02
1,2024-11-08 06:14:36.678852,100.37,30.21,81.43,12.36
1,2024-11-08 06:19:36.678852,88.66,30.78,8.71,13.72
1,2024-11-08 06:24:36.678852,96.17,33.03,38.61,13.41
1,2024-11-08 06:29:36.678852,71.75,33.99,48.33,12.76
1,2024-11-08 06:34:36.678852,87.01,30.81,37.2,14.08
1,2024-11-08 06:39:36.678852,93.25,34.78,96.24,14.31
1,2024-11-08 06:44:36.678852,79.12,33.18,73.81,13.2
1,2024-11-08 06:49:36.678852,102.56,33.0,78.25,12.65
1,2024-11-08 06:54:36.678852,101.9,31.47,82.54,12.27
1,2024-11-08 06:59:36.678852,75.03,30.3,31.71,13.77
1,2024-11-08 07:04:36.678852,88.57,31.85,49.87,13.44
1,2024-11-08 07:09:36.678852,101.33,34.68,93.58,13.98
1,2024-11-08 07:14:36.678852,105.31,34.13,67.87,14.23
1,2024-11-08 07:19:36.678852,95.27,31.05,67.56,12.34
1,2024-11-08 07:24:36.678852,93.08,33.5,89.4,12.19
1,2024-11-08 07:29:36.678852,89.25,33.6,6.08,14.25
1,2024-11-08 07:34:36.678852,74.46,32.59,16.79,12.41
1,2024-11-08 07:39:36.678852,92.8,34.92,36.14,12.69
1,2024-11-08 07:44:36.678852,105.01,31.68,91.94,13.41
1,2024-11-08 07:49:36.678852,85.09,34.69,38.06,12.19
1,2024-11-08 07:54:36.678852,108.4,31.44,45.14,13.29
1,2024-11-08 07:59:36.678852,105.52,30.52,96.16,13.12
1,2024-11-08 08:04:36.678852,89.67,32.75,88.54,13.09
1,2024-11-08 08:09:36.678852,108.26,32.68,48.96,12.14
1,2024-11-08 08:14:36.678852,82.0,31.75,25.93,12.78
1,2024-11-08 08:19:36.678852,76.4,33.37,36.63,13.51
1,2024-11-08 08:24:36.678852,89.73,32.19,41.86,12.71
1,2024-11-08 08:29:36.678852,78.81,31.03,18.65,13.99
1,2024-11-08 08:34:36.678852,104.31,30.43,48.5,12.79
1,2024-11-08 08:39:36.678852,92.64,34.91,62.4,12.93
1,2024-11-08 08:44:36.678852,97.63,34.67,50.18,13.32
1,2024-11-08 08:49:36.678852,97.92,34.95,79.52,12.68
1,2024-11-08 08:54:36.678852,75.67,33.94,69.44,12.87
1,2024-11-08 08:59:36.678852,78.89,34.73,49.24,13.63
1,2024-11-08 09:04:36.678852,91.44,31.18,40.12,12.54
1,2024-11-08 09:09:36.678852,105.87,31.41,33.29,12.36
1,2024-11-08 09:14:36.678852,74.04,32.89,73.79,14.01
1,2024-11-08 09:19:36.678852,85.01,33.86,36.04,13.7
1,2024-11-08 09:24:36.678852,83.0,33.04,96.32,12.62
1,2024-11-08 09:29:36.678852,72.52,33.27,42.06,13.81
1,2024-11-08 09:34:36.678852,95.75,30.04,62.0,14.22
1,2024-11-08 09:39:36.678852,103.08,30.27,34.09,13.5
1,2024-11-08 09:44:36.678852,85.15,31.78,66.8,13.2
1,2024-11-08 09:49:36.678852,91.91,30.37,49.82,13.58
1,2024-11-08 09:54:36.678852,86.28,32.75,65.13,12.71
